Output,Input,Call,mNemonic,Location,Service Area,Latitude,Longitude,S,ERP,HASL,T/O,Sp,Tone,Notes
439.7250,434.7250,VK2RAG,Someb2,Somersby,Gosford - Wyong,-33.360078,151.291215,O,25,320,3,2EH,91.5,71
439.7500,434.7500,VK2RHP,-,Horsley Park,Sydney,-33.861548,150.854947,O,-,-,-,NME,-,
439.7750,434.7750,VK2RSW,-,Blaxland,Lower Blue Mtns,-33.750301,150.633524,O,-,-,-,2NAB,-,
439.8000,434.8000,VK2RCG,-,Sydney,Sydney City,-33.864292,151.211542,O,-,-,-,NME,91.5,
439.8000,434.8000,VK2RTW,-,Wagga Wagga,Wagga Wagga 6/17,-35.132724,147.372242,X,-,-,-,2WG,91.5,
439.8250,434.8250,VK2RWK,KurraJ,Kurrajong,NW Sydney,-33.523583,150.62693,O,-,-,-,NWN,91.5,80
439.8500,434.8500,VK2RLH,-,Newbridge,Bathurst 6/17,-33.554857,149.359776,X,-,-,-,2NX,-,
439.8500,434.8500,VK2RNG,Werri,Werrington,Western Sydney,-33.765599,150.740681,O,-,-,-,2THE,-,
439.8750,434.8750,VK2RAH,-,portable,Statewide WICEN,-,-,O,-,-,-,NWN,-,
439.9000,434.9000,VK2RBK,NomTop,Noumea Tops,Bingara/Barraba 6/17,-30.056695,150.52417,X,25,720,-,2DK,-,
439.9000,434.9000,VK2RWI,Dural2,Dural,Sydney 6/15,-33.698742,151.055463,P,25,240,-,2WI,-,
439.9000,434.9000,VK2RWP,WolumP,Wolumla Peak,Bega,-36.864455,149.728115,O,-,-,-,2CRN,-,
439.9250,434.9250,VK1RWP,-,portable,VK1 WICEN,-,-,O,20,-,-,1ACA,-,
439.9250,434.9250,VK2RAF,-,portable,Statewide WICEN,-,-,O,10,-,-,NWN,-,
439.9250,434.9250,VK2RON,-,Artarmon,Sydney metro,-33.805346,151.181412,O,15,200,1,2GO,-,
439.9500,434.9500,VK1RBM,Issacs,Isaacs Ridge,Canberra Central,-35.364585,149.11875,O,25,790,3,1ACA,91.5,65
439.9500,434.9500,VK2RAG,Someb3,Somersby,Central Coast,-33.360078,151.291215,O,-,313,3,2EH,91.5,
439.9500,434.9500,VK2RDD,-,Burroway Hill,Dubbo,-32.154911,148.556712,O,25,300,-,2UBQ,-,
439.9500,434.9500,VK2RGN,MtGray,Mt Gray,Goulburn,-34.758567,149.763092,O,20,-,3,2JQ,-,
439.9500,434.9500,VK2RSC,Lismor,Parrots Nest,Lismore,-28.857063,153.228511,O,30,185,3,2SRC,123,66
439.9750,434.9750,VK1RWP,-,portable,VK1 WICEN,-,-,O,20,-,-,1ACA,-,
439.9750,434.9750,VK2RNS,Asqith,Hornsby,Northern Sydney 11/15,-33.689879,151.100677,P,50,225,3.5,2MA,-,
,,,,,,,,,,,,,,{{70CM;FM;VK3}}
438.0250,433.0250,VK3RBO,-,Specimen Hill,Bendigo,-36.76632,144.244345,O,50,335,-,3WI,-,
438.0250,433.0250,VK3RCC,-,Melbourne,Melbourne City,-37.813822,144.969482,O,160,120,-,3BKR,91.5,76
438.0250,433.0250,VK3RCP,-,Ouyen,Ouyen,-35.069532,142.311608,O,-,-,-,3WI,-,
438.0250,433.0250,VK3REG,MntCan,Mt Cann,East Gippsland 6/15,-37.646728,148.978698,X,40,-,2.5,3EGC,-,36
438.0750,433.0750,VK3RDU,Major,Mt Major,Goulburn Valley,-36.36159,145.694467,O,-,377,-,3WI,-,
438.1250,433.1250,VK3RLE,-,Paps,Mansfield,-37.043399,145.98481,O,50,678,-,3JFK,-,68
438.1500,433.1500,VK3RIR,-,Bendigo,Bendigo 6/15,-38.354463,144.953894,T,100,240,3.5,3JED,91.5,
438.1750,431.1750,VK3RBH,-,Geelong,Geelong CBD,-38.152056,144.365668,O,25,30,3,3WI,91.5,6
438.1750,433.1750,VK3RUG,-,Devil's River,Alexandra - Lake Eildon,-37.209266,145.841609,O,100,650,2.5,3JFK,-,68
438.1875,432.7875,VK3RCD,-,Kinglake,Melbourne,-37.515708,145.316285,O,-,600,-,3HF,-,103
438.2250,433.2250,VK3RMS,Olind2,Olinda,Melbourne,-37.853928,145.36636,O,100,600,2.5,3WI,91.5,
438.2750,433.2750,VK3RPW,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
438.2750,433.2750,VK3RWE,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
438.2750,433.2750,VK3RWI,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
438.2750,433.2750,VK3RWR,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
438.3250,433.3250,VK3RMH,WatlGn,Wattle Glen,Melbourne 6/15,-37.681545,145.195462,X,40,120,3,3CNE,-,
438.3500,433.3500,VK3RBN,-,Burrumbeet,Ballarat 10/17,?,?,U,25,389,2.5,3UBO,91.5,
438.3500,433.3500,VK3RCU,-,Mt Moliagul,Bendigo,-36.723195,143.646951,O,25,527,3,3WI,91.5,6
438.3750,433.3750,VK3RGS,-,Mt Fatigue,Foster,-38.569862,146.306918,O,-,-,-,3WI,-,
438.3750,433.3750,VK3RHO,Hotham,Mt Hotham,NE Victoria,-36.974128,147.139385,O,-,-,-,3WI,-,
438.3750,433.3750,VK3RLV,Tassie,Mt Tassie,Latrobe Valley,-38.393572,146.55926,O,-,730,-,3WI,-,
438.3750,433.3750,VK3RWG,BawSq,Mt Baw Baw,West Gippsland,-37.838335,146.274831,O,20,1563,2.5,3WI,-,
438.4000,433.4000,VK3RFY,Hillsd,Hillside,Melb EchoL/IRLP,-37.694622,144.728557,O,100,100,3,3HF,91.5,38
438.4250,433.4250,VK3RCU,-,Mt Moliagul,Bendigo,-36.723195,143.646951,O,-,527,-,3WI,-,
438.4500,433.4500,VK3RBW,-,Mt Gisborne,Melbourne West,-37.520178,144.58707,O,150,650,3,3FSK,91.5,103
438.4750,433.4750,VK3RBU,-,Mt Hollowback,Ballarat,-37.440051,143.815479,O,40,-,2.5,3WI,91.5,
438.5000,433.5000,VK3RGW,-,Grovedale,Geelong West,-38.172568,144.29696,O,100,148,3,3HF,91.5,103
438.5250,431.5250,VK3RAD,-,Mitcham,Melbourne,-37.820773,145.188383,O,50,100,2.5,3WI,123,6
438.5250,433.5250,VK3RNU,-,Mt Stanley,Wangaratta,-36.444595,146.802919,O,60,1051,2.5,3WI,-,
438.5250,433.5250,VK3RRU,-,Merbein,Mildura,-34.168332,142.07905,O,20,-,2.5,3RSG,-,5
438.5750,433.5750,VK3RWD,-,Seaview,West Gippsland,-38.26304,145.998709,O,50,410,2,3BJA,91.5,
438.6000,431.6000,VK3RWO,-,Bald Hill,West Wodonga,-36.103698,146.790444,O,50,-,-,NEV,123,
438.6250,433.6250,VK3RPW,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
438.6250,433.6250,VK3RWE,-,portable,Statewide,-,-,O,-,-,-,VWN,-,
438.6250,433.6250,VK3RWI,-,portable,Statewide WICEN,-,-,O,5,-,-,VWN,-,
438.6250,433.6250,VK3RWP,-,portable,Statewide,-,-,O,-,-,-,VWN,-,
438.6250,433.6250,VK3RWR,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
438.6500,431.6500,VK3RGV,Wombat,Mt Wombat,NE Victoria,-36.849308,145.67307,O,-,800,-,3WI,123,
438.6750,433.6750,VK3RWU,-,Mt William,Grampians,-37.294985,142.603725,O,100,1170,3,3WI,91.5,6
438.7000,433.7000,VK3RBM,-,Bacchus Marsh,Bacchus Marsh 11/16,-37.643898,144.416653,P,100,500,3,3HF,91.5,103
438.7500,433.7500,VK3RHF,-,Olinda,Melbourne,-37.857864,145.364227,O,50,600,3,3UJ,88.5,8
438.8750,431.8750,VK3RHF,-,Mt Macedon,Melbourne,-37.374733,144.578414,O,50,990,3,3UJ,88.5,8
439.2750,434.2750,VK3RBA,Bunyng,Mt Buninyong,Ballarat,-37.65293,143.926465,O,50,750,3,3WI,91.5,6
439.3000,434.3000,VK3RYV,Briart,Briarty Hill,Yarra Valley,-37.730985,145.476243,O,-,-,-,3YVG,-,
439.3250,434.3250,VK3RGH,GreenH,Green Hill,Macedon R & Melb 11/16,-37.186272,144.425745,P,100,600,3,3HF,91.5,103
439.3500,434.3500,VK3RMP,Caveat,Caveat,North Central 8/17,-37.06943,145.500901,T,100,670,3,VSA,91.5,102
439.3750,434.3750,VK3RMC,-,Berwick,Berwick,-38.001189,145.328134,O,25,-,-,3APC,-,
439.4250,434.4250,VK3RNE,BigBen,Mt Big Ben,Wodonga,-36.406294,146.940976,O,-,1158,-,3WI,-,
439.4250,434.4250,VK3RSV,-,Noble Park,Melbourne EchoLink,-37.967779,145.188612,O,200,90,4,2CL,91.5,64
439.4500,434.4500,VK3RMN,KLake,Kinglake,Melbourne,-37.515708,145.316285,O,80,600,-,VWN,91.5,39
439.4750,434.4750,VK3RLP,Cborn,Cranbourne,Mornington Peninsula,-38.113722,145.280059,O,25,71,3.5,3BJA,91.5,
439.5000,434.5000,VK3RGL,Anakie,Mt Anakie,Geelong,-37.886427,144.269036,O,45,400,3,3ATL,91.5,
439.5250,434.5250,VK3RPT,-,Pretty Sally,Kilmore,-37.38095,144.965576,O,100,515,3,3HF,91.5,103
439.5250,434.5250,VK3RTU,MntTay,Mt Taylor,Bairnsdale,-37.705615,147.560807,O,60,476,2.5,3EGC,-,
439.5500,434.5500,VK3RSB,-,Mt St Leonard,Melbourne,-37.567537,145.52555,O,100,1028,3,VSA,91.5,102
439.5750,434.5750,VK3RGC,MoPell,Montpellier,Geelong,-38.157168,144.313919,O,45,160,3,3ATL,91.5,
439.6000,434.6000,VK3RDX,-,Mt Waverley,Melbourne,-37.874466,145.138124,O,100,132,3,3HF,91.5,103
439.6250,434.6250,VK3RBY,-,Bayswater,Melbourne,-37.840432,145.263938,O,80,-,2,3MY,88.5,
439.6500,434.6500,VK3RSA,-,Emerald,Melbourne,-37.932578,145.444156,O,100,370,3,VSA,91.5,102
439.6750,434.6750,VK3RZU,-,Mt Buller,Mansfield 6/15,-37.146425,146.43441,T,-,1800,-,3WI,-,
439.7000,434.7000,VK3RBP,-,Horsham,Wimmera,-36.716182,142.198367,O,25,135,-,3III,91.5,
439.7000,434.7000,VK3RRC,RdlsCk,Riddells Creek,Riddells Creek 8/17,-37.447981,144.66484,P,40,-,-,VSA,91.5,102
439.7250,434.7250,VK3RPS,Cotrel,Mt Cottrell,Melbourne West,-37.763158,144.621872,O,200,217,3,3HF,91.5,
439.7500,434.7500,VK3RAJ,Upwey,Upwey,Melbourne SE,-37.90393,145.317257,O,50,270,3,3AJ,91.5,102
439.8000,434.8000,VK3RMU,StLeo,Mt St Leonard,Melbourne,-37.567537,145.52555,O,200,1028,2.5,3WI,-,
439.8250,434.8250,VK3RBL,-,Bambill South,NW Victoria,-34.472579,141.508093,O,-,-,-,3WI,-,
439.8250,434.8250,VK3RMM,Macdon,Mt Macedon,Melbourne WICEN 5/16,-37.383441,144.57678,X,100,1011,3,3WI,91.5,
439.8500,434.8500,VK3RPU,-,Arthur's Seat,Melbourne,-38.356043,144.951503,O,40,-,2.5,3WI,91.5,
439.8750,434.8750,VK3RDU,Major,Mt Major,Goulburn Valley,-36.36159,145.694467,O,40,377,2.5,3WI,-,
439.8750,434.8750,VK3RMC,-,Narre Warren North,Melbourne SE,-38.001189,145.328134,O,25,-,-,3APC,-,
439.8750,434.8750,VK3RWL,Warnum,Mt Warrnambool,Warrnambool,-38.304936,142.737853,O,40,-,0.5,3WI,-,
439.9000,434.9000,VK3RSE,-,Glen Waverley,Melbourne,-37.890655,145.173481,O,100,-,2,3NH,-,
439.9250,434.9250,VK3RWP,-,portable,Statewide WICEN,-,-,O,-,-,-,VWN,-,
439.9500,434.9500,VK3RMG,-,Mt Broughton,Yea - Seymour,-37.120472,145.412989,O,30,650,3,3JFK,-,68
439.9500,434.9500,VK3RPL,Portld,Portland,Portland,-38.387794,141.631864,O,200,100,3,3AJ,91.5,100,101
439.9500,434.9500,VK3RYN,-,Yallourn North,Latrobe Valley 8/17,-38.153547,146.406513,T,40,112,3,3AJ,91.5,102
439.9750,434.9750,VK3RSS,-,portable,Statewide,-,-,O,-,-,-,VSA,-,40
439.9750,434.9750,VK3RWP,-,portable,Statewide,-,-,O,-,-,-,VWN,-,
,,,,,,,,,,,,,,{{70CM;FM;VK4}}
438.0250,433.0250,VK4RTQ,-,Mt Kynoch,Toowoomba,-27.506166,151.955865,O,50,500,3.5,4JV,91.5,
438.0500,433.0500,VK4RGT,-,Maurice Hill,Gladstone City,-23.935977,151.242554,O,83,212,2,QGL,-,
438.0500,433.0500,VK4RZD,-,Mt Perseverance,Ipswich to T'mba Range,-27.413366,152.161336,O,100,700,1,4BWI,91.5,70
438.0750,433.0750,VK4RSC,-,Wilkes Knob,Sunshine Coast,-26.778175,152.912493,O,20,450,-,4WIS,91.5,
438.1000,433.1000,VK4RZA,-,Springbrook,Gold Coast,-28.232629,153.290351,O,-,940,1,4BWI,91.5,70
438.1250,433.1250,VK4RZC,-,Wilkes Knob,Maleny,-26.778944,152.91545,O,-,470,1,4BWI,91.5,70
438.1750,433.1750,VK4RSL,-,Noosa Heads,Sunshine Coast North,-26.389268,153.097528,O,25,100,4.5,4WIS,91.5,
438.2000,433.2000,VK4RZB,-,Mt Coot-tha,Brisbane,-27.479744,152.954043,O,100,560,1,4BWI,91.5,70
438.2250,433.2250,VK4RAT,-,Mt Stuart,Townsville,-19.343838,146.780685,O,10,584,10,4WIT,91.5,
438.2250,433.2250,VK4RAR,-,Mt Archer,Rockhampton,-23.338948,150.578041,O,25,608,4,4WIR,91.5,49
438.2250,432.8250,VK4RPH,-,Mt Haren,Kuranda,-16.836529,145.61219,O,50,250,-,4BS,123,
438.2750,433.2750,VK4RBR,-,Mt Gravatt,Brisbane,-27.526594,153.091706,O,110,80,-,4WIE,-,
438.3250,433.3250,VK4RRC,-,Wamuran,Redcliffe,-27.036716,152.823105,O,25,230,4.5,4RC,91.5,
438.3750,433.3750,VK4RWM,-,North Ipswich,Ipswich,-27.590312,152.758288,O,70,120,4.5,4WIP,91.5,47
438.4250,433.4250,VK4RBX,-,The Knobby,Ipswich,-27.502263,152.591633,O,70,120,4.5,4AB,123,72
438.5000,433.5000,VK4RHR,-,Hodgson Range,Clermont,-22.692692,148.033559,O,50,520,-,4WCH,-,
438.5000,433.5000,VK4RLW,-,O'Briens Mtn,Logan/Bdesert,-27.717924,152.879029,O,25,315,10,4OD,91.5,
438.5750,433.5750,VK4RSS,-,Ocean View,Brisbane North,-27.133695,152.829395,O,25,530,5,4RV,91.5,34
438.6000,433.6000,VK4RGC,-,Springbrook,Gold Coast 12/17,-28.231694,153.266325,X,150,1010,4,4WIG,91.5,84
438.6250,433.6250,VK4RAG,-,Black Mtn,Brisbane WICEN,-26.422383,152.854389,O,20,90,-,4BWI,-,
438.6250,433.6250,VK4RWI,-,portable,Statewide WICEN,-,-,O,-,-,-,QWN,-,
438.6500,433.6500,VK4REG,-,Mt Mowbullan,Bunya Mtns,-26.888563,151.600764,O,100,1700,5,4JV,91.5,
438.6750,433.6750,VK4RWS,-,Nebo,Mackay,-21.600646,148.967883,O,-,-,-,4DW,91.5,
438.7000,433.7000,VK4RET,-,Mt Kiangarow,S Burnet & D/Downs,-26.830664,151.548911,O,12,1145,5,4BAD,91.5,
438.7500,433.7500,VK4RLB,-,Woodridge,Logan,-27.627411,153.100191,O,25,60,4,4ARN,-,3
438.7500,433.7500,VK4RPU,-,Mt Perry,Monto,-25.191485,151.688007,O,-,-,-,4PU,-,
438.7750,433.7750,VK4RBU,MtGoon,Mt Goonaneman,Bundaberg/Maryborough,-25.433093,152.122131,O,10,620,4,4BW,-,58
439.2750,434.2750,VK4RDD,-,O'Rourke's House,Toowoomba,-27.691258,151.991884,O,35,702,4,4WID,91.5,
439.3000,434.3000,VK4RBM,-,Blue Mtn,Mackay 6/15,-21.600646,148.967883,T,25,-,-,4WIM,-,42
439.3000,434.3000,VK4RBQ,-,Mt Coot-Tha,Brisbane 9/15,-27.463175,152.947118,X,-,-,-,4WIG,-,
439.3000,434.3000,VK4RSM,-,Spring Mtn,Springfield,-27.717924,152.879029,O,25,-,-,4AB,91.5,47
439.3250,434.3250,VK4RAI,-,The Knobby,Ipswich,-27.502263,152.591633,O,-,-,4,4WIP,91.5,49
439.3750,434.3750,VK4RNL,-,Hervey Bay,N. Sunshine Coast 6/15,-25.270368,152.734623,P,25,90,5,4NL,-,
439.6250,434.6250,VK4RSA,-,Sarina,Mackay,-21.497521,149.16955,O,25,400,4,4RM,-,49
439.7250,434.7250,VK4RBS,-,Alexandra Hills,Redlands,-27.543964,153.23152,O,25,70,3.5,4BAY,91.5,
439.7500,434.7500,VK4RMA,-,Mt Alma,Gladstone/Rockhampton,-23.959662,150.804856,O,50,90,3,4WIR,91.5,
439.7750,434.7750,VK4RBW,BundaN,Watalgan,N Bundaberg,-24.701339,151.962052,O,50,-,4,4BW,-,
439.7750,434.7750,VK4RBP,-,Butchers Creek,Atherton Tableland 3/18,?,?,U,25,600,4,4FUY,-,
439.8000,434.8000,VK4RGL,-,Lady Larcom,Gladstone,-23.804344,151.125244,O,150,330,2.5,4HN,91.5,63
439.8250,434.8250,VK4RBT,-,Wongawallan,Gold Coast,-27.882998,153.259931,O,50,354,3,4WIG,123,94
439.8500,434.8500,VK4RCA,-,Cairns,Cairns,-16.915508,145.775036,O,50,50,4,4HM,-,
439.8750,434.8750,VK4RCQ,-,Banana Range,Monto,-24.450308,150.314482,O,-,-,-,4RCQ,-,
439.8750,434.8750,VK4RLU,-,Mt Dunsinane,Logan,-27.926477,153.040439,O,30,400,4,4BAB,91.5,
439.9000,434.9000,VK4RBK,-,Tolga,Atherton Tableland,-17.222963,145.447263,O,-,937,4,4WAT,-,
439.9000,434.9000,VK4RXZ,-,Maleny,Maleny 2/16,-26.797246,152.799795,X,50,500,4,4XZ,-,
439.9250,434.9250,VK4RBP,-,Butchers Creek,Atherton Tableland 3/18,?,?,U,-,600,-,4FUY,-,
439.9250,434.9250,VK4RWM,-,North Ipswich,Ipswich,-27.590312,152.758288,O,5,60,-,4WIP,91.5,
439.9500,434.9500,VK4RBA,-,Rochedale,Brisbane,-27.553116,153.128853,O,-,-,-,4BA,123,
439.9500,434.9500,VK4RGY,Gympie,Gympie,Gympie,-26.187777,152.671423,O,25,95,4,4GYM,-,
439.9500,434.9500,VK4RSD,-,Malanda,Sth Atherton Tablelands,-17.36186,145.636904,O,50,730,3,4SDD,-,112
,,,,,,,,,,,,,,{{70CM;FM;VK5}}
438.0250,433.0250,VK5RSA,AdlCty,Adelaide,Adelaide City,-34.927823,138.603384,O,50,55,5,5ARG,-,
438.2000,433.2000,VK5RBP,-,portable,Statewide (Scouts) 6/15,-,-,P,50,-,3,5BP,-,
438.3250,433.3250,VK5RCT,-,Moonta,Moonta,-34.047307,137.65363,O,-,-,-,5ZSW,91.5,
438.5000,431.5000,VK5RMN,-,The Bluff,Port Pirie,-33.086404,138.162772,O,25,730,5,STX,-,83
438.5250,433.5250,VK5RVH,VictrH,Brown Hill,Victor Harbor,-35.505725,138.646365,O,80,270,5,5GF,91.5,
439.8000,434.8000,VK5RBV,-,Mt Kitchener,Barossa Valley,-34.571977,139.005935,O,50,580,3.5,5BRC,-,53
439.8250,434.8250,VK5ROH,MtgUHF,Blue Lake,Mt Gambier,-37.833149,140.776349,O,15,135,3.5,5SR,-,81
439.8250,434.8250,VK5RSC,-,Mt Terrible,Adelaide South,-35.331101,138.501776,O,50,380,5,5ARC,91.5,
439.8500,434.8500,VK5RAC,-,Pillaworta Hill,Lower Eyre Peninsula,-34.392624,135.954064,O,50,325,4.5,5ZEA,-,
439.8750,434.8750,VK5RHO,-,Anstey Hill,Adelaide,-34.841909,138.74945,O,20,410,3.5,5GRC,-,
439.9000,434.9000,VK5RSB,Sumtwn,Summertown,Adelaide,-34.949232,138.716978,O,100,620,5,5ARG,91.5,
439.9250,434.9250,VK5RAD,-,Crafers,Adelaide,-34.998452,138.698773,O,25,610,5,5BAR,-,
439.9500,434.9500,VK5ROC,-,Lower Light,Adelaide NW,-34.546656,138.375003,O,50,30,4,5LZ,-,
439.9750,434.9750,VK5RLZ,-,Elizabeth,Adelaide North,-34.742448,138.649074,O,25,73,3,5LZ,91.5,
,,,,,,,,,,,,,,{{70CM;FM;VK6}}
438.0250,433.0250,VK6RPT,-,portable,Statewide,-,-,O,20,-,10,WRG,-,88
438.2250,433.2250,VK6RTH,PerNE,Tic Hill,Perth North East,-31.825768,116.063938,O,40,230,4,WRG,-,19
438.5250,433.5250,VK6RAV,-,Hoddy Well,Avon East 7/17,-31.631042,116.488988,P,-,-,-,WRG,-,
438.5250,433.5250,VK6RCT,Cataby,Yandan Hill,Cataby 7/17,-30.758363,115.598169,P,-,200,-,WRG,-,
438.5250,433.5250,VK6RMS,-,Boddington,Boddington 7/17,-32.964855,116.450861,P,-,-,-,WRG,-,
438.6500,433.6500,VK6RBY,Bunbry,Harvey,Bunbury,-33.10002,115.926023,O,25,20,5,6BRC,-,43
438.6750,433.6750,VK6RBN,Busltn,Chapman Hill,Busselton,-33.81447,115.370163,O,-,130,-,WRG,-,
438.7250,433.7250,VK6RNA,-,Wanneroo,Perth,-31.755398,115.819357,O,40,230,4,6RNA,123,
439.7000,434.7000,VK6ROT,Rotto,Rottnest Is,Perth Coast,-32.000023,115.524824,O,20,55,5,6ZTN,-,19
439.8000,434.8000,VK6RAP,PerSE1,Roleystone,Perth South East,-32.100052,116.05155,O,50,360,5,WRG,123,11
439.9250,434.9250,VK6RNS,-,Whiteman Park,Perth N suburbs 6/15,?,?,U,40,70,5,6NC,-,
439.9500,434.9500,VK6RAA,MtBark,Mt Barker,South Coast,-34.655747,117.647055,O,25,450,5,6SR,-,54
439.9500,434.9500,VK6RAL,Albany,Mt Clarence,Albany,-35.024783,117.894701,O,25,-,-,6SR,-,54
439.9500,434.9500,VK6RAR,-,portable,Statewide WICEN,-,-,O,25,-,-,WWN,-,
,,,,,,,,,,,,,,{{70CM;FM;VK7}}
438.0500,433.0500,VK7RBH,-,Ben Lomond,North East Tasmania,-41.533067,147.658814,O,25,1570,10,7TAZ,-,
438.5000,433.5000,VK7RIN,-,Barren Tier,Central Tasmania,-42.018302,146.75519,O,25,1200,-,7TAZ,-,
438.5250,433.5250,VK7RCR,-,Lenah Valley,Hobart,-42.86165,147.277901,O,20,220,2,7ZCR,91.5,
438.5500,433.5500,VK7RAB,-,portable,Tasmania,-,-,O,50,1190,3,7TAZ,-,60
438.5500,433.5500,VK7RAF,-,Mt Faulkner,Hobart,-42.792233,147.19151,O,-,900,-,7OB,-,60
438.6000,433.6000,VK7RMD,-,Mt Duncan,NW Tasmania,-41.194584,146.035604,O,40,600,10,7NW,141.3,
438.6500,433.6500,VK7RAC,-,Table Cape,NW Tasmania,-40.952269,145.720715,O,25,150,5,7DC,141.3,
438.7000,433.7000,VK7RAK,-,Gagebrook,Hobart,-42.740275,147.266427,O,40,100,-,7HDM,-,
439.7000,434.7000,VK7REC,-,Snow Hill,East Coast,-41.915819,147.835645,O,-,970,-,7TAZ,-,
439.7500,434.7500,VK7RDS,-,Mt Nelson,Hobart,-42.919535,147.316426,O,30,280,4,7SD,-,
439.7750,434.7750,VK7RDR,-,Dazzler Range,Northern Tasmania,-41.23523,146.719314,O,70,155,5,TNA,91.5,
439.8250,434.8250,VK7RTC,-,Mt Wellington,Hobart,-42.894865,147.236213,O,50,1271,5,7TAZ,91.5,59,113
439.8250,434.8250,VK7RTC,-,Mt Lloyd,Derwent Valley,-42.844726,146.960276,O,50,932,5,7TAZ,91.5,59,113
439.8250,434.8250,VK7RTC,-,Grey Mtn,Huon & Channel,-43.091506,147.116136,O,50,821,5,7TAZ,91.5,59,113
439.9000,434.9000,VK7RAL,-,Companion Hill,Hampshire,-41.341217,145.728188,O,50,825,5,7TAZ,141.3,59,113
,,,,,,,,,,,,,,{{70CM;FM;VK8}}
438.2750,433.2750,VK8RDA,-,Darwin,Darwin 6/15,-12.480794,130.984368,X,10,75,4,8DA,91.5,
438.5250,433.5250,VK8RIT,ASpr70,West Gap,Alice Springs,-23.722205,133.856578,O,25,776,3,8AR,91.5,
439.9750,434.9750,VK8RWI,-,Marrara,Darwin 6/15,?,?,U,30,77,4,8DA,123,
,,,,,,,,,,,,,,{{23CM;FM;VK2}}
1273.1000,1293.1000,VK2RTZ,SugarL,Sugarloaf Range,Lower Hunter,-32.950285,151.517688,O,83,442,3,2ATZ,-,
1273.2000,1293.2000,VK2RPW,-,Grundy Mtn,Walcha,-31.326537,151.655979,O,30,1463,3,NWR,-,
1273.2000,1293.2000,VK2RWC,Chats1,Chatswood,Sydney,-33.798005,151.178974,O,30,140,2,NWN,-,
1273.3000,1293.3000,VK2RPL,Nardi,Mt Nardi,Lismore 3/17,-28.542669,153.290154,T,10,850,3,2SRC,-,
